Name,Math,Info,English
Student01,60,55,50
Student02,63,60,57
Student03,66,65,64
Student04,69,70,71
Student05,72,75,78
Student06,75,80,85
Student07,78,85,92
Student08,81,90,99
Student09,84,95,56
Student10,87,55,63
Student11,90,60,70
Student12,93,65,77
Student13,96,70,84
Student14,99,75,91
Student15,62,80,98
Student16,65,85,55
Student17,68,90,62
Student18,71,95,69
Student19,74,55,76
Student20,77,60,83
Student21,80,65,90
Student22,83,70,97
Student23,86,75,54
Student24,89,80,61
Student25,92,85,68
Student26,95,90,75
Student27,98,95,82
Student28,61,55,89
Student29,64,60,96
Student30,67,65,53
